experience,age,governorate,disability,education,gender,clusters,nodes,durations
0,20,irbid,no_disability,secondary_or_below,male,1,0,12.752799
0,20,ajloun,no_disability,secondary_or_below,male,1,3,3.0333333
0,20,zarqa,no_disability,vocational_training,male,1,5,6.516862
0,20,irbid,no_disability,vocational_training,male,1,0,6.580729
0,20,zarqa,no_disability,secondary_or_below,male,1,5,3.4837239
0,20,amman,no_disability,secondary_or_below,male,1,8,5.9526043
0,20,maadaba,no_disability,secondary_or_below,male,1,2,4.0666666
1,20,maadaba,no_disability,secondary_or_below,male,1,10,4.0
0,20,amman,no_disability,secondary_or_below,male,1,8,19.019857
0,20,amman,no_disability,secondary_or_below,male,1,8,6.751367
0,20,zarqa,no_disability,secondary_or_below,male,1,5,3.0666666
0,20,zarqa,no_disability,bachelor_or_above,male,1,9,4.0666666
0,20,al_aqaba,no_disability,secondary_or_below,male,1,3,19.279753
1,20,maadaba,no_disability,secondary_or_below,male,1,10,2.0333333
1,20,maadaba,no_disability,secondary_or_below,male,1,10,2.0333333
5,20,maadaba,no_disability,secondary_or_below,male,2,6,2.0666666
0,20,zarqa,no_disability,secondary_or_below,male,1,5,10.1
1,20,irbid,no_disability,secondary_or_below,male,1,4,9.1
0,20,amman,no_disability,secondary_or_below,male,1,8,13.649023
0,20,al_mafraq,no_disability,secondary_or_below,male,1,8,14.388476
1,20,al_mafraq,no_disability,secondary_or_below,male,1,12,7.0666666
0,20,zarqa,no_disability,secondary_or_below,male,1,5,16.417253
0,20,zarqa,no_disability,secondary_or_below,male,1,5,10.013803
0,20,zarqa,no_disability,secondary_or_below,male,1,5,20.446419
1,20,zarqa,no_disability,secondary_or_below,male,1,10,2.0333333
0,20,balqa,no_disability,secondary_or_below,male,1,0,6.2845054
0,20,irbid,no_disability,secondary_or_below,male,1,0,12.166667
0,20,amman,no_disability,secondary_or_below,male,1,8,7.133333
0,20,amman,no_disability,secondary_or_below,male,1,8,5.0333333
1,20,zarqa,no_disability,secondary_or_below,male,1,10,12.166667
0,20,amman,no_disability,secondary_or_below,male,1,8,11.166667
0,20,al_aqaba,no_disability,vocational_training,male,1,3,2.6848958
0,20,amman,no_disability,secondary_or_below,male,1,8,2.9666667
0,20,amman,no_disability,secondary_or_below,male,1,8,14.2
0,20,balqa,no_disability,vocational_training,male,1,0,13.166667
0,20,jarash,no_disability,secondary_or_below,male,1,0,2.5513673
0,20,amman,no_disability,secondary_or_below,male,1,8,5.1
0,20,al_mafraq,no_disability,secondary_or_below,male,1,8,25.333334
1,20,al_mafraq,no_disability,secondary_or_below,male,1,12,5.1
0,20,amman,no_disability,secondary_or_below,male,1,8,18.3
1,20,amman,no_disability,secondary_or_below,male,1,12,12.166667
0,20,amman,no_disability,secondary_or_below,male,1,8,15.266666
1,20,amman,no_disability,secondary_or_below,male,1,12,11.133333
0,20,tafileh,no_disability,secondary_or_below,male,1,2,11.08431
0,20,irbid,no_disability,secondary_or_below,male,1,0,13.2
0,20,zarqa,no_disability,secondary_or_below,male,1,5,2.0333333
0,20,zarqa,no_disability,secondary_or_below,male,1,5,5.0333333
1,20,al_kirk,no_disability,vocational_training,male,1,12,2.0333333
1,20,al_kirk,no_disability,vocational_training,male,1,12,3.0333333
0,20,balqa,no_disability,secondary_or_below,male,1,0,6.133333
0,20,irbid,no_disability,secondary_or_below,male,1,0,15.049284
0,20,amman,no_disability,secondary_or_below,male,1,8,5.0333333
5,20,amman,no_disability,secondary_or_below,male,0,20,4.1
0,20,al_kirk,no_disability,secondary_or_below,male,1,3,15.233334
0,20,zarqa,no_disability,secondary_or_below,male,1,5,12.247461
1,20,zarqa,no_disability,secondary_or_below,male,1,10,17.266666
0,20,irbid,no_disability,secondary_or_below,male,1,0,9.28763
0,20,amman,no_disability,secondary_or_below,male,1,8,5.087565
1,20,amman,no_disability,secondary_or_below,male,1,12,5.1
0,20,irbid,no_disability,vocational_training,male,1,0,12.548177
0,20,irbid,no_disability,vocational_training,male,1,0,16.266666
0,20,irbid,no_disability,vocational_training,male,1,0,16.787565
1,20,amman,no_disability,secondary_or_below,male,1,12,3.0
0,20,maadaba,no_disability,secondary_or_below,male,1,2,14.083593
0,20,balqa,no_disability,vocational_training,male,1,0,12.851042
0,20,irbid,no_disability,secondary_or_below,male,1,0,13.166667
0,20,zarqa,no_disability,bachelor_or_above,male,1,9,6.1828775
0,20,maadaba,no_disability,secondary_or_below,male,1,2,8.1
0,20,maadaba,no_disability,secondary_or_below,male,1,2,4.0
0,20,amman,no_disability,secondary_or_below,male,1,8,22.3
0,20,amman,no_disability,secondary_or_below,male,1,8,2.0666666
0,20,irbid,no_disability,vocational_training,male,1,0,3.7179687
0,20,amman,no_disability,secondary_or_below,male,1,8,11.016537
0,20,jarash,no_disability,secondary_or_below,male,1,0,9.283919
0,20,jarash,no_disability,secondary_or_below,male,1,0,10.133333
0,20,amman,no_disability,secondary_or_below,male,1,8,5.1201825
0,20,amman,no_disability,secondary_or_below,male,1,8,5.1
0,20,al_aqaba,no_disability,vocational_training,male,1,3,8.987174
1,20,zarqa,no_disability,vocational_training,male,1,10,2.0333333
0,20,amman,with_disability,secondary_or_below,male,1,8,17.951433
0,20,tafileh,no_disability,secondary_or_below,male,1,2,8.350195
0,20,zarqa,no_disability,secondary_or_below,male,1,5,15.233334
0,20,zarqa,no_disability,secondary_or_below,male,1,5,15.233334
0,20,maadaba,no_disability,secondary_or_below,male,1,2,19.21927
0,20,maadaba,no_disability,secondary_or_below,male,1,2,6.133333
0,20,amman,no_disability,secondary_or_below,male,1,8,12.166667
1,20,amman,no_disability,secondary_or_below,male,1,12,2.0666666
0,20,irbid,no_disability,secondary_or_below,male,1,0,6.3215494
0,20,al_aqaba,no_disability,secondary_or_below,male,1,3,18.08763
0,20,amman,no_disability,secondary_or_below,male,1,8,8.020312
0,20,amman,no_disability,secondary_or_below,male,1,8,3.0666666
0,20,al_kirk,no_disability,secondary_or_below,male,1,3,4.6839194
0,20,irbid,no_disability,secondary_or_below,male,1,0,8.066667
0,20,amman,no_disability,vocational_training,male,1,8,2.6185546
0,20,zarqa,no_disability,secondary_or_below,male,1,5,5.8477216
0,20,al_aqaba,no_disability,secondary_or_below,male,1,3,6.320052
0,20,amman,no_disability,secondary_or_below,male,1,8,13.987044
0,20,amman,no_disability,secondary_or_below,male,1,8,3.0666666
0,20,maadaba,no_disability,secondary_or_below,male,1,2,3.1136067
0,20,irbid,no_disability,secondary_or_below,male,1,0,11.166667
0,20,amman,no_disability,secondary_or_below,male,1,8,3.0666666
1,20,maadaba,no_disability,secondary_or_below,male,1,10,3.0666666
0,20,zarqa,no_disability,secondary_or_below,male,1,5,4.8147135
0,20,amman,no_disability,secondary_or_below,male,1,8,16.233334
0,20,amman,no_disability,secondary_or_below,male,1,8,3.0196614
0,20,maadaba,no_disability,secondary_or_below,male,1,2,3.4490235
0,20,balqa,no_disability,secondary_or_below,male,1,0,16.233334
0,20,irbid,no_disability,secondary_or_below,male,1,0,9.687044
0,20,al_aqaba,no_disability,secondary_or_below,male,1,3,4.682487
0,20,zarqa,no_disability,vocational_training,male,1,5,16.233334
0,20,zarqa,no_disability,secondary_or_below,male,1,5,5.2197266
0,20,amman,no_disability,secondary_or_below,male,1,8,55.833332
0,20,zarqa,no_disability,secondary_or_below,male,1,5,20.233334
0,20,al_kirk,no_disability,secondary_or_below,male,1,3,6.820573
0,20,irbid,no_disability,secondary_or_below,male,1,0,5.4205728
0,20,irbid,no_disability,secondary_or_below,male,1,0,3.0666666
0,20,amman,no_disability,secondary_or_below,male,1,8,2.0333333
0,20,amman,no_disability,secondary_or_below,male,1,8,8.066667
0,20,amman,no_disability,secondary_or_below,male,1,8,4.6533856
1,20,amman,no_disability,secondary_or_below,male,1,12,2.0666666
1,20,irbid,no_disability,secondary_or_below,male,1,4,4.0
0,20,balqa,no_disability,vocational_training,male,1,0,29.050716
0,20,maadaba,no_disability,secondary_or_below,male,1,2,10.982226
0,20,amman,no_disability,secondary_or_below,male,1,8,10.614127
5,20,irbid,no_disability,secondary_or_below,male,2,6,3.0333333
0,20,irbid,no_disability,vocational_training,male,1,0,14.086783
